content,created_at,movie_id,user_id
어떤 점이 좋았는지 모르겠어요.,2024-02-01 02:33:29,823464,48
보는 내내 긴장감이 넘쳤어요.,2024-03-04 02:44:10,823464,5
문제가 있었지만 좋았어요.,2024-01-21 05:56:39,823464,37
그리고 결말이 좋았어요.,2024-05-18 20:40:15,823464,10
보이는 것보다 좋았어요.,2024-02-13 03:49:03,823464,50
한 번 더 보고 싶어요.,2024-05-09 08:53:41,823464,33
지금 봐도 재미있어요.,2024-03-24 15:33:28,823464,6
크게 다가오는 부분이 있었어요.,2024-01-03 16:27:17,823464,8
년 최고의 영화였어요.,2024-02-03 22:23:21,823464,6
사람마다 다르겠지만 저는 좋았어요.,2024-01-12 13:02:20,823464,27
어떻게 이렇게 만들었는지 궁금해요.,2024-05-19 19:26:29,823464,6
속도감이 있었어요.,2024-02-21 04:08:25,823464,17
말할 것도 없어요.,2024-04-27 18:24:15,823464,18
말로 다 할 수 없어요.,2024-02-14 03:19:48,823464,39
로 봤으면 좋았을 텐데.,2024-03-02 05:50:55,823464,9
어떻게 이렇게 만들었는지 궁금해요.,2024-02-27 16:38:50,823464,38
앞으로 또 보고 싶어요.,2024-02-28 04:36:13,823464,30
자신에게 맞는 영화였어요.,2024-01-24 18:56:23,823464,36
알 수 없는 매력이 있어요.,2024-01-17 07:10:59,823464,5
있어요. 정말 좋았어요.,2024-04-03 02:35:24,823464,2
등장인물들이 다 좋았어요.,2024-01-06 10:36:34,823464,14
더러는 조금 지루했지만 전체적으로 좋았어요.,2024-03-04 18:38:26,823464,2
그렇지만 조금 아쉬웠어요.,2024-05-19 11:35:31,823464,47
만드는 과정이 궁금해졌어요.,2024-05-02 19:09:04,823464,37
가지고 싶은 장면이 많았어요.,2024-01-02 11:12:51,823464,43
다른 영화를 보고 싶어졌어요.,2024-01-01 16:30:26,823464,45
두 번 보고 세 번 봐도 질리지 않아요.,2024-02-05 23:38:08,823464,29
크게 다가오는 부분이 있었어요.,2024-01-05 13:40:34,823464,17
않고 끝까지 봤어요.,2024-03-08 06:17:19,823464,18
그러나 조금 지루했어요.,2024-03-11 00:09:12,823464,10
정말 재미있어요!,2024-04-15 23:44:23,823464,9
이런 영화를 원했어요.,2024-02-19 09:00:56,823464,10
기대했던 것보다 훨씬 좋았어요.,2024-05-14 22:59:13,823464,32
우리 가족 모두가 좋아했어요.,2024-03-19 04:52:29,823464,38
씨가 연기를 잘했어요.,2024-05-19 07:00:21,823464,29
문제가 있었지만 좋았어요.,2024-01-19 09:27:10,823464,13
어떤 점이 좋았는지 모르겠어요.,2024-05-13 02:25:56,823464,18
될 수 있으면 다시 보고 싶어요.,2024-02-29 04:02:53,823464,43
경우에 따라 다를 수 있어요.,2024-01-30 11:55:34,823464,29
하나하나 다 재미있었어요.,2024-03-30 19:24:15,823464,24
내 동생도 좋아했어요.,2024-03-23 20:58:02,823464,4
더 나은 결말을 기대했어요.,2024-04-10 04:11:18,823464,40
더러는 조금 지루했지만 전체적으로 좋았어요.,2024-05-05 20:28:29,823464,31
있을 수 없는 일이 벌어졌네요.,2024-05-21 02:19:23,823464,26
주인공이 멋있었어요.,2024-04-24 18:23:02,823464,30
자신에게 맞는 영화였어요.,2024-01-30 17:18:05,823464,42
또 보고 싶어요.,2024-01-13 10:10:16,823464,14
정말로 감동적이었습니다.,2024-01-15 18:24:54,823464,36
사회적 메시지가 있었어요.,2024-01-12 06:16:43,823464,34
그녀가 좋아했어요.,2024-05-21 02:10:58,823464,15
지루하지 않게 잘 봤어요.,2024-05-14 22:09:42,823464,17
월등히 좋았어요.,2024-03-30 02:04:25,823464,11
전반적으로 좋았어요.,2024-04-20 22:38:56,823464,5
번번이 감동했어요.,2024-04-30 22:28:32,823464,3
오랜만에 좋은 영화 봤네요.,2024-02-28 07:59:12,823464,17
생각보다 별로였어요.,2024-02-08 02:56:55,823464,14
지루하지 않게 잘 봤어요.,2024-05-15 03:54:35,823464,37
같이 보면 더 재미있을 거 같아요.,2024-03-24 22:38:13,823464,32
다른 영화를 보고 싶어졌어요.,2024-03-25 02:23:15,823464,38
주인공이 멋있었어요.,2024-04-05 17:01:11,823464,27
약간 지루했어요.,2024-04-01 07:41:08,823464,47
명작이었어요.,2024-04-20 06:41:09,823464,15
앞으로 또 보고 싶어요.,2024-01-13 11:50:03,823464,26
우리 집에서 다 좋아했어요.,2024-02-29 04:20:42,823464,10
보이는 것보다 좋았어요.,2024-02-04 01:54:12,823464,36
너무 지루했어요.,2024-03-24 05:36:25,823464,27
아니면 별로였을 거예요.,2024-01-01 03:46:37,823464,28
그렇지만 조금 아쉬웠어요.,2024-01-04 11:16:41,823464,19
너무 복잡해서 이해하기 어려웠어요.,2024-01-29 21:35:58,823464,37
데가 없네요.,2024-05-06 13:13:28,823464,42
될 수 있으면 다시 보고 싶어요.,2024-01-05 20:40:08,823464,17
다른 영화를 보고 싶어졌어요.,2024-02-25 05:31:43,823464,49
앞으로 또 보고 싶어요.,2024-01-13 23:57:17,823464,3
한 번 더 보고 싶어요.,2024-05-10 00:03:22,823464,16
우리 가족 모두가 좋아했어요.,2024-05-22 15:08:17,823464,2
따라서 추천합니다.,2024-01-22 15:03:49,823464,13
보이는 것보다 좋았어요.,2024-03-24 06:53:56,823464,33
월등히 좋았어요.,2024-04-10 12:25:22,823464,24
주인공이 멋있었어요.,2024-01-28 02:17:14,823464,10
안 보고 넘어갈 뻔했어요.,2024-05-14 08:37:01,823464,25
들어본 적 없는 스토리였어요.,2024-02-26 09:49:13,823464,24
들어본 적 없는 스토리였어요.,2024-03-12 15:33:23,823464,9
하게 만들었어요.,2024-02-01 15:38:03,823464,13
속도감이 있었어요.,2024-03-02 21:41:47,823464,49
있을 수 없는 일이 벌어졌네요.,2024-04-04 15:30:03,823464,24
정말 재미있어요!,2024-02-08 08:53:39,823464,12
지루하지 않게 잘 봤어요.,2024-04-20 13:46:59,823464,24
이렇게 좋은 영화는 처음이에요.,2024-03-13 15:45:47,823464,35
있어요. 정말 좋았어요.,2024-03-24 05:53:10,823464,12
때문에 다시 보고 싶어요.,2024-01-09 18:08:44,823464,40
년 최고의 영화였어요.,2024-01-18 12:11:37,823464,19
위하여 추천합니다.,2024-01-12 15:15:35,823464,11
오랜만에 좋은 영화 봤네요.,2024-01-30 21:46:36,823464,13
다시 보고 싶은 영화입니다.,2024-01-10 07:55:19,823464,17
시간 가는 줄 모르고 봤어요.,2024-05-08 20:46:06,823464,37
어떻게 이렇게 만들었는지 궁금해요.,2024-02-10 07:50:29,823464,36
내가 본 영화 중 최고였어요.,2024-03-24 11:16:14,823464,9
말할 것도 없어요.,2024-03-31 15:31:20,823464,30
어떻게 이렇게 만들었는지 궁금해요.,2024-02-19 15:48:04,823464,40
따라서 추천합니다.,2024-02-24 11:57:00,823464,17
